Filename                                 MP2/aVTZ
054_K-Water_Deg15_-60                   -4.433998
054_K-Water_Deg15_-45                   -9.854027
054_K-Water_Deg15_-30                  -13.333119
054_K-Water_Deg15_-15                  -15.310678
054_K-Water_Deg15_+00                  -15.957671
054_K-Water_Deg15_+15                  -15.310678
054_K-Water_Deg15_+30                  -13.333119
054_K-Water_Deg15_+45                   -9.854027
054_K-Water_Deg15_+60                   -4.433998
055_F-Water_Deg15_-60                    1.556562
055_F-Water_Deg15_-45                   -6.586224
055_F-Water_Deg15_-30                  -16.057858
055_F-Water_Deg15_-15                  -24.156544
055_F-Water_Deg15_+00                  -27.294154
055_F-Water_Deg15_+15                  -24.591212
055_F-Water_Deg15_+30                  -19.063941
055_F-Water_Deg15_+45                  -15.126197
055_F-Water_Deg15_+60                  -14.889217
056_Cl-Water_Deg15_-60                  -0.792636
056_Cl-Water_Deg15_-45                  -5.226873
056_Cl-Water_Deg15_-30                  -9.458084
056_Cl-Water_Deg15_-15                 -12.522091
056_Cl-Water_Deg15_+00                 -13.756549
056_Cl-Water_Deg15_+15                 -13.359532
056_Cl-Water_Deg15_+30                 -12.323432
056_Cl-Water_Deg15_+45                 -11.757213
056_Cl-Water_Deg15_+60                 -12.085496
057_Br-Water_Deg15_-60                  -0.495477
057_Br-Water_Deg15_-45                  -4.351871
057_Br-Water_Deg15_-30                  -7.955768
057_Br-Water_Deg15_-15                 -10.566977
057_Br-Water_Deg15_+00                 -11.737807
057_Br-Water_Deg15_+15                 -11.634338
057_Br-Water_Deg15_+30                 -10.969068
057_Br-Water_Deg15_+45                 -10.566895
057_Br-Water_Deg15_+60                 -10.765738
058_Li-Water_Deg30_-60                 -15.808602
058_Li-Water_Deg30_-45                 -23.261152
058_Li-Water_Deg30_-30                 -28.337490
058_Li-Water_Deg30_-15                 -31.341321
058_Li-Water_Deg30_+00                 -32.340524
058_Li-Water_Deg30_+15                 -31.341321
058_Li-Water_Deg30_+30                 -28.337490
058_Li-Water_Deg30_+45                 -23.261152
058_Li-Water_Deg30_+60                 -15.808602
059_Na-Water_Deg30_-60                  -8.181852
059_Na-Water_Deg30_-45                 -14.025733
059_Na-Water_Deg30_-30                 -17.984793
059_Na-Water_Deg30_-15                 -20.308291
059_Na-Water_Deg30_+00                 -21.077291
059_Na-Water_Deg30_+15                 -20.308291
059_Na-Water_Deg30_+30                 -17.984793
059_Na-Water_Deg30_+45                 -14.025733
059_Na-Water_Deg30_+60                  -8.181852
060_K-Water_Deg30_-60                   -4.932272
060_K-Water_Deg30_-45                   -9.606309
060_K-Water_Deg30_-30                  -12.701090
060_K-Water_Deg30_-15                  -14.479955
060_K-Water_Deg30_+00                  -15.063033
060_K-Water_Deg30_+15                  -14.479955
060_K-Water_Deg30_+30                  -12.701090
060_K-Water_Deg30_+45                   -9.606309
060_K-Water_Deg30_+60                   -4.932272
061_F-Water_Deg30_-60                    3.869738
061_F-Water_Deg30_-45                   -2.433733
061_F-Water_Deg30_-30                   -9.317994
061_F-Water_Deg30_-15                  -15.056008
061_F-Water_Deg30_+00                  -17.547371
061_F-Water_Deg30_+15                  -16.302376
061_F-Water_Deg30_+30                  -13.205334
061_F-Water_Deg30_+45                  -10.886043
061_F-Water_Deg30_+60                  -10.665065
062_Cl-Water_Deg30_-60                   0.558089
062_Cl-Water_Deg30_-45                  -3.062130
062_Cl-Water_Deg30_-30                  -6.461378
062_Cl-Water_Deg30_-15                  -8.979063
062_Cl-Water_Deg30_+00                 -10.175310
062_Cl-Water_Deg30_+15                 -10.184767
062_Cl-Water_Deg30_+30                  -9.663953
062_Cl-Water_Deg30_+45                  -9.334213
062_Cl-Water_Deg30_+60                  -9.474678
063_Br-Water_Deg30_-60                   0.660603
063_Br-Water_Deg30_-45                  -2.527425
063_Br-Water_Deg30_-30                  -5.483905
063_Br-Water_Deg30_-15                  -7.686546
063_Br-Water_Deg30_+00                  -8.815923
063_Br-Water_Deg30_+15                  -8.983046
063_Br-Water_Deg30_+30                  -8.677175
063_Br-Water_Deg30_+45                  -8.447141
063_Br-Water_Deg30_+60                  -8.516155
064_Li-Water_Deg45_-60                 -18.016739
064_Li-Water_Deg45_-45                 -23.594556
064_Li-Water_Deg45_-30                 -27.558180
064_Li-Water_Deg45_-15                 -29.942980
064_Li-Water_Deg45_+00                 -30.740822
064_Li-Water_Deg45_+15                 -29.942980
064_Li-Water_Deg45_+30                 -27.558180
064_Li-Water_Deg45_+45                 -23.594556
064_Li-Water_Deg45_+60                 -18.016739
065_Na-Water_Deg45_-60                  -9.509506
065_Na-Water_Deg45_-45                 -13.928336
065_Na-Water_Deg45_-30                 -17.051561
065_Na-Water_Deg45_-15                 -18.919177
065_Na-Water_Deg45_+00                 -19.541605
065_Na-Water_Deg45_+15                 -18.919177
065_Na-Water_Deg45_+30                 -17.051561
065_Na-Water_Deg45_+45                 -13.928336
065_Na-Water_Deg45_+60                  -9.509506
066_K-Water_Deg45_-60                   -5.482648
066_K-Water_Deg45_-45                   -9.067848
066_K-Water_Deg45_-30                  -11.554563
066_K-Water_Deg45_-15                  -13.015488
066_K-Water_Deg45_+00                  -13.497729
066_K-Water_Deg45_+15                  -13.015488
066_K-Water_Deg45_+30                  -11.554563
066_K-Water_Deg45_+45                   -9.067848
066_K-Water_Deg45_+60                   -5.482648
067_F-Water_Deg45_-60                    6.789563
067_F-Water_Deg45_-45                    2.590690
067_F-Water_Deg45_-30                   -1.657661
067_F-Water_Deg45_-15                   -5.110307
067_F-Water_Deg45_+00                   -6.932521
067_F-Water_Deg45_+15                   -6.983057
067_F-Water_Deg45_+30                   -6.035769
067_F-Water_Deg45_+45                   -5.172369
067_F-Water_Deg45_+60                   -4.995502
