Filename                                   AMOEBA
119_Na-Water_Cls_008                   -77.258121
119_Na-Water_Cls_009                   -81.694068
119_Na-Water_Cls_010                   -79.048751
119_Na-Water_Cls_011                   -66.283792
119_Na-Water_Cls_012                   -74.728390
119_Na-Water_Cls_013                   -79.081883
119_Na-Water_Cls_014                   -74.070852
119_Na-Water_Cls_015                   -69.429541
119_Na-Water_Cls_016                   -80.112636
119_Na-Water_Cls_017                   -70.025915
119_Na-Water_Cls_018                   -84.640182
119_Na-Water_Cls_019                   -68.429736
119_Na-Water_Cls_020                   -76.225717
119_Na-Water_Cls_021                   -74.174622
119_Na-Water_Cls_022                   -67.290056
119_Na-Water_Cls_023                   -73.891067
119_Na-Water_Cls_024                   -62.018456
119_Na-Water_Cls_025                   -73.261385
119_Na-Water_Cls_026                   -82.136805
119_Na-Water_Cls_027                   -50.226369
119_Na-Water_Cls_028                   -64.768594
119_Na-Water_Cls_029                   -68.852416
119_Na-Water_Cls_030                   -81.918689
119_Na-Water_Cls_031                   -77.544487
119_Na-Water_Cls_032                   -71.276283
119_Na-Water_Cls_033                   -40.264042
119_Na-Water_Cls_034                   -86.056580
119_Na-Water_Cls_035                   -69.298230
119_Na-Water_Cls_036                   -68.832810
119_Na-Water_Cls_037                   -77.153940
119_Na-Water_Cls_038                   -77.399281
119_Na-Water_Cls_039                   -77.833431
119_Na-Water_Cls_040                   -74.814777
119_Na-Water_Cls_041                   -76.391317
119_Na-Water_Cls_042                   -71.166206
119_Na-Water_Cls_043                   -78.139551
119_Na-Water_Cls_044                   -68.291813
119_Na-Water_Cls_045                   -76.536927
119_Na-Water_Cls_046                   -77.859539
119_Na-Water_Cls_047                   -61.046053
119_Na-Water_Cls_048                   -73.017293
119_Na-Water_Cls_049                   -78.553522
119_Na-Water_Cls_050                   -75.810163
119_Na-Water_Cls_051                   -59.088290
119_Na-Water_Cls_052                   -64.486926
119_Na-Water_Cls_053                   -83.525326
119_Na-Water_Cls_054                   -72.873863
119_Na-Water_Cls_055                   -59.225751
119_Na-Water_Cls_056                   -76.798025
119_Na-Water_Cls_057                   -75.059725
119_Na-Water_Cls_058                   -80.732569
119_Na-Water_Cls_059                   -75.715965
119_Na-Water_Cls_060                   -81.752732
119_Na-Water_Cls_061                   -79.543330
119_Na-Water_Cls_062                   -80.142945
119_Na-Water_Cls_063                   -65.723892
119_Na-Water_Cls_064                   -85.626933
119_Na-Water_Cls_065                   -73.459717
119_Na-Water_Cls_066                   -77.900511
119_Na-Water_Cls_067                   -76.331973
119_Na-Water_Cls_068                   -63.170726
119_Na-Water_Cls_069                   -65.054582
119_Na-Water_Cls_070                   -86.259690
119_Na-Water_Cls_071                   -76.385908
119_Na-Water_Cls_072                   -74.344282
119_Na-Water_Cls_073                   -76.762255
119_Na-Water_Cls_074                   -66.185780
119_Na-Water_Cls_075                   -64.144527
119_Na-Water_Cls_076                   -65.218673
119_Na-Water_Cls_077                   -71.810049
119_Na-Water_Cls_078                   -79.559683
119_Na-Water_Cls_079                   -81.058069
119_Na-Water_Cls_080                   -70.185746
119_Na-Water_Cls_081                   -72.438419
119_Na-Water_Cls_082                   -72.844977
119_Na-Water_Cls_083                   -83.680452
119_Na-Water_Cls_084                   -76.262786
119_Na-Water_Cls_085                   -76.372115
