Filename                           Electrostatics        Exchange      Dispersion       Induction     SAPT2+/aVTZ
012_K-Water_1.50                        -8.954951        0.124794       -0.186430       -1.240638      -10.257225
012_K-Water_2.00                        -5.115889        0.001007       -0.029453       -0.377291       -5.521626
013_F-Water_0.80                       -94.228270      240.434725      -26.386568     -122.386455       -2.566569
013_F-Water_0.90                       -70.381536      115.932030      -15.432044      -61.545180      -31.426731
013_F-Water_0.95                       -57.839912       79.660614      -11.975388      -44.211115      -34.365802
013_F-Water_1.00                       -47.435673       54.570659       -9.350713      -32.226834      -34.442561
013_F-Water_1.05                       -39.164975       37.348457       -7.338278      -23.878612      -33.033407
013_F-Water_1.10                       -32.689578       25.572887       -5.781738      -17.991961      -30.890390
013_F-Water_1.20                       -23.666847       12.048222       -3.628800      -10.725833      -25.973259
013_F-Water_1.30                       -18.008496        5.741218       -2.302648       -6.784112      -21.354038
013_F-Water_1.40                       -14.271567        2.777377       -1.473821       -4.506756      -17.474766
013_F-Water_1.50                       -11.665341        1.365900       -0.949299       -3.116120      -14.364860
013_F-Water_2.00                        -5.523040        0.048437       -0.118983       -0.741111       -6.334697
014_Cl-Water_0.80                      -49.973396      104.235360      -15.146470      -35.721610        3.393883
014_Cl-Water_0.90                      -31.120393       43.564201       -8.512911      -16.750625      -12.819728
