Filename                                 MP2/aVTZ
120_K-Water_Cls_096                    -50.208696
120_K-Water_Cls_097                    -68.598200
120_K-Water_Cls_098                    -60.679196
120_K-Water_Cls_099                    -52.687501
121_F-Water_Cls_000                    -70.548271
121_F-Water_Cls_001                    -82.753055
121_F-Water_Cls_002                    -82.919659
121_F-Water_Cls_003                    -86.315416
121_F-Water_Cls_004                    -75.364550
121_F-Water_Cls_005                    -86.315564
121_F-Water_Cls_006                    -75.668826
121_F-Water_Cls_007                    -77.510920
121_F-Water_Cls_008                    -87.177030
121_F-Water_Cls_009                    -83.004213
121_F-Water_Cls_010                    -67.108914
121_F-Water_Cls_011                    -76.543203
121_F-Water_Cls_012                    -65.991770
121_F-Water_Cls_013                    -90.389478
121_F-Water_Cls_014                    -78.164588
121_F-Water_Cls_015                    -76.052686
121_F-Water_Cls_016                    -74.306072
121_F-Water_Cls_017                    -87.246906
121_F-Water_Cls_018                    -63.676007
121_F-Water_Cls_019                    -79.769471
121_F-Water_Cls_020                    -78.045425
121_F-Water_Cls_021                    -75.588390
121_F-Water_Cls_022                    -72.977727
121_F-Water_Cls_023                    -75.806582
121_F-Water_Cls_024                    -72.812821
121_F-Water_Cls_025                    -76.284297
121_F-Water_Cls_026                    -81.533965
121_F-Water_Cls_027                    -85.276164
121_F-Water_Cls_028                    -89.363500
121_F-Water_Cls_029                    -80.678921
121_F-Water_Cls_030                    -67.889707
121_F-Water_Cls_031                    -86.349192
121_F-Water_Cls_032                    -83.370492
121_F-Water_Cls_033                    -80.124225
121_F-Water_Cls_034                    -71.383286
121_F-Water_Cls_035                    -78.656758
121_F-Water_Cls_036                    -77.877427
121_F-Water_Cls_037                    -75.641131
121_F-Water_Cls_038                    -75.697581
121_F-Water_Cls_039                    -81.957931
121_F-Water_Cls_040                    -83.482604
121_F-Water_Cls_041                    -83.543572
121_F-Water_Cls_042                    -80.039283
121_F-Water_Cls_043                    -76.108331
121_F-Water_Cls_044                    -82.461609
121_F-Water_Cls_045                    -76.397035
121_F-Water_Cls_046                    -82.676693
121_F-Water_Cls_047                    -79.870296
121_F-Water_Cls_048                    -86.370119
121_F-Water_Cls_049                    -69.768351
121_F-Water_Cls_050                    -87.118005
121_F-Water_Cls_051                    -75.938715
121_F-Water_Cls_052                    -80.278664
121_F-Water_Cls_053                    -79.546221
